"","cas_prihoda","dolzina_opravila","dolzina_opravila_noise"
"1",11.5798741498563,6.5109195629874,8.02270073143825
"2",4.91824821365957,4.62318935128974,5.01303258770117
"3",2.15873135998845,6.59625945254023,5.97501887199843
"4",3.82626997479382,5.47977789161832,3.26507800444082
"5",2.35391888581216,6.33664775501343,7.1187840557445
"6",9.45806101209458,4.94824943119371,5.0228144145589
"7",2.56757035292685,4.98135440874988,2.9920027128865
"8",1.1764815505594,6.11207308490365,6.73189883279836
"9",1.2960406113416,4.93535381771718,5.32302542927655
"10",5.28187171725516,4.82045745813141,4.7666524175485
"11",0.814041400126263,3.22192268532815,1.84486312849954
"12",4.0909035092402,4.445893574918,4.03089901161832
"13",3.8816085984051,4.54397369196893,5.10063689064258
"14",3.97822315229063,4.93168520137969,4.24292950683017
"15",2.05669718421996,6.30548705328255,5.59799189632043
"16",8.03132960911761,5.89253118382643,6.25711314596326
"17",3.0967510564435,5.89898026725301,4.85484564093648
"18",0.35869631324962,4.87057136456118,5.44029099200359
"19",4.43270662705751,6.03535197731437,5.90029737343355
"20",0.989057013361037,5.46047740839202,7.8620951688968
"21",0.598977586254478,4.95480743574211,6.420362297305
"22",9.24988650480166,5.80448017496626,5.95773351317816
"23",11.639549075885,5.03224930665399,7.20486097701614
"24",1.14236393757164,4.13139668853169,4.60690621743135
"25",4.03302582709079,4.17135581570254,3.58183486951447
"26",3.27405675534145,5.71044139486404,5.14177266204553
"27",0.23704482242465,3.89987320031559,3.76469458519175
"28",9.13541389206305,5.33643233012207,6.51451932669527
"29",4.86049089191442,3.15320265684885,4.36107046283202
"30",1.78642261780834,5.69055774372492,6.85096035941987
"31",0.842427572235465,5.38461552299606,6.08482917251106
"32",0.53028562369089,6.2594496263137,7.84628308085454
"33",3.05272003991489,5.64863519171066,5.80666396411474
"34",6.29086682277604,4.33390773380663,3.67932308988781
"35",7.34256391938696,3.53775785787482,5.30504512724747
"36",0.148609099909663,4.45146370955712,5.16817118557432
"37",3.92727762816434,6.07083544716608,5.86345470356411
"38",0.0810016524046659,5.44424483317786,5.05143690373588
"39",0.847600777772473,7.05476698032934,6.73477411178084
"40",13.0373484187557,4.25986721781351,3.98075391483696
"41",5.41335072724109,5.57293081280137,5.49936640867505
"42",8.2948014658309,4.79559939363409,4.75796522216704
"43",3.14048345103935,4.41324103898535,3.73158056022969
"44",2.11264013532732,6.61323223756788,6.28896196532156
"45",11.3926482095098,5.06929059588282,5.01239381803543
"46",7.69588256593714,4.31542250607684,2.40106308039682
"47",2.88730906305795,5.61680945841811,6.79339277043668
"48",7.34459577467213,5.35396417542711,3.6889917392151
"49",10.6645887712564,4.46303345436611,4.44447362165147
"50",8.45761459781952,3.67463637475466,3.35656800021082
"51",1.38969786278903,4.12233048781028,3.19296834035658
"52",10.3886689166154,5.02003378173911,3.53257347159762
"53",0.866405297424756,3.72549530887382,4.43873582898664
"54",5.26362252591138,6.18126216487089,5.63838022775896
"55",2.16866931308408,4.27705359157255,5.16283196547348
"56",3.05863878486638,3.33356488061443,2.98497019610368
"57",7.04278007861147,3.80881973170697,5.88406474035926
"58",4.67962012050634,3.9061566654518,4.93354910421557
"59",1.80324218049645,4.66037792993432,5.86828632832102
"60",2.94948672194034,4.28454879089421,3.05322536933617
"61",4.33127374388845,6.16135238229908,5.98424842086254
"62",6.16017575839831,5.2536157807671,5.65562756025344
"63",4.10892161337619,3.22646903970911,2.4947208665895
"64",0.491287571413804,5.6044783908797,6.43485155886137
"65",4.39776327071672,3.75933992657377,5.44821321277782
"66",6.27624006535778,6.73970460625727,8.32629303969924
"67",1.27102087251842,3.79918072890554,3.46827292822278
"68",7.46741630848417,5.47666389377035,3.19142835847789
"69",4.19973067038788,5.77742363246847,4.40721575492101
"70",6.12650821324358,5.62839374774698,6.61623201520186
"71",4.28438702208881,4.98456840679622,6.50431343229577
"72",5.26480603946333,5.59163914062779,5.28289857140217
"73",0.00680389814078808,3.50136926896202,3.16040068910162
"74",0.877991480752826,5.74786636974532,4.59129400710946
"75",3.00057351572399,4.94850797631667,6.75164988423413
"76",5.54216647503858,2.87790323853001,2.54677120156551
"77",25.6767493469269,3.0460223877816,4.74297026850469
"78",1.72666626982391,5.22734253356745,4.96660622499932
"79",6.76391275193463,5.3036672062795,4.59773862061184
"80",4.05046149916167,3.83626637207874,3.6750878659064
"81",25.3251340829483,5.58131081457219,5.47980736694047
"82",15.6846969938817,3.80203608400072,3.84468633379742
"83",0.455610007002731,6.96609948318855,5.36938146889136
"84",5.15822961537128,5.00649758426079,5.49746495685785
"85",2.79512558594004,5.48791014050219,5.59333153069596
"86",1.73271583020687,7.30826102917042,7.6611355024889
"87",7.54282131757507,6.22394314565968,6.77433650411473
